FA년도,구단명,선수명,세부 포지션,인정년수,구분,FA등급,플레이년도,Age,G,GS,GR,W,L,S,BLSV,HD,BLHD,IP,ER,H,2B,3B,HR,BB,HP,SO,WP,ERA,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,비고2
2024,키움,임창민,CP,9,자격유지,C,2023,38,51,0,51,2,2,26,4,1,0,46.2,13,51,6,0,3,17,2,40,0,2.51,0,46.2,,1.28,1.28,10000,신규 35세 23년 C등급,
2025,삼성,임창민,RP,,FA 1년차,,2024,39,60,0,60,2,1,1,3,28,1,54.1,24,60,10,0,4,30,2,50,5,3.98,0,54.1,,1.97,1.97,20000,,
2021,한화,장민재,RP,8,신규,C,2020,30,24,10,14,2,7,0,0,0,0,57.1,43,86,19,2,5,13,2,32,1,6.75,43,14.1,-0.34,0.41,0.07,11000,고졸,
2022,한화,장민재,SP,8,신규,C,2021,31,12,6,6,0,2,0,0,0,0,29.1,9,34,7,0,4,8,0,13,1,2.76,23.2,5.2,0.65,-0.18,0.47,10000,고졸,
2023,한화,장민재,SP,8,신규,C,2022,32,32,25,7,7,8,0,0,0,1,126.2,50,124,18,2,15,39,4,75,3,3.55,120.1,6.1,3.27,0.06,3.33,7600,고졸,
2024,한화,장민재,SP,8,신규,C,2023,33,25,13,12,3,8,0,0,1,0,69,37,79,13,2,12,22,5,61,5,4.83,57,12,-0.05,0.15,0.11,11500,고졸,
2025,한화,장민재,RP,,FA 1년차,,2024,34,26,0,26,1,1,0,0,0,1,29,10,46,7,0,2,7,1,17,5,3.1,0,29,,0.74,0.74,15000,,
2020,롯데,장시환,SP,9,신규,C,2019,32,27,27,0,6,13,0,0,0,0,125.1,69,147,29,1,12,58,2,109,17,4.95,125.1,0,1.54,,1.54,8500,35세 이상,
2021,한화,장시환,SP,9,신규,C,2020,33,26,26,0,4,14,0,0,0,0,132.2,74,139,27,1,15,74,8,115,10,5.02,132.2,0,1.87,,1.87,11000,35세 이상,
2022,한화,장시환,SP,9,신규,C,2021,34,19,16,3,0,11,0,0,1,0,69,54,87,12,1,4,48,6,47,7,7.04,67,2,-0.23,-0.12,-0.36,15400,35세 이상,
2023,한화,장시환,CP,9,신규,C,2022,35,64,0,64,0,5,14,5,9,0,63.2,31,57,14,2,4,33,1,67,2,4.38,0,63.2,,0.49,0.49,21000,35세 이상,
2024,한화,장시환,RP,,FA 1년차,,2023,36,38,0,38,2,2,1,4,7,0,34.2,13,32,4,0,1,21,4,24,3,3.38,0,34.2,,0.65,0.65,28000,,
2011,삼성,장원삼,SP,8,신규,A,2010,27,29,28,1,13,5,0,0,0,0,151,58,139,,,13,44,5,115,3,3.46,,,4.47,0.09,4.56,17000,대졸,
2012,삼성,장원삼,SP,8,신규,A,2011,28,25,21,4,8,8,0,0,0,0,115,53,139,,,13,37,0,68,1,4.15,,,1.79,-0.08,1.72,22500,대졸,
2013,삼성,장원삼,SP,8,신규,A,2012,29,27,25,2,17,6,0,0,1,0,157,62,143,,,9,38,9,127,2,3.55,,,3.22,0.09,3.31,22500,대졸,
2014,삼성,장원삼,SP,8,신규,A,2013,30,27,26,1,13,10,1,0,0,0,154,75,165,17,3,21,42,9,104,6,4.38,150,4,1.99,0.01,2,40000,대졸,
2015,삼성,장원삼,SP,,FA 1년차,,2014,31,24,24,0,11,5,0,0,0,0,129.1,59,149,33,2,16,37,5,63,6,4.11,129.1,0,3.24,,3.24,75000,,
2012,롯데,장원준,SP,9,신규,A,2011,26,29,28,1,15,6,0,,0,,180.2,63,195,,,7,62,9,129,3,3.14,,,4.97,0.4,5.38,,고졸,
2013,군 복무,장원준,SP,9,신규,A,2012,27,,,,,,,,,,,,,,,,,,,,,,,,,,,고졸,
2014,군 복무,장원준,SP,9,신규,A,2013,28,,,,,,,0,,0,,,,,,,,,,,,,,,,,,고졸,
2015,롯데,장원준,SP,9,신규,A,2014,29,27,27,0,10,9,0,0,0,0,155,79,160,27,6,15,67,3,107,9,4.59,155,0,4.68,,4.68,32000,고졸,
2016,두산,장원준,SP,,FA 1년차,,2015,30,30,30,0,12,12,0,0,0,0,169.2,77,182,35,2,13,68,14,128,2,4.08,169.2,0,3.94,,3.94,100000,,
2013,SK,정우람,CP,9,신규,A,2012,27,53,0,53,2,4,30,,0,,49,12,33,,,0,9,4,55,1,2.2,,,,1.78,1.78,,고졸,
2014,군 복무,정우람,SP,9,신규,A,2013,28,,,,,,,,,,,,,,,,,,,,,,,,,,,고졸,
2015,군 복무,정우람,SP,9,신규,A,2014,29,,,,,,,,,,,,,,,,,,,,,,,,,,,고졸,
2016,SK,정우람,CP,9,신규,A,2015,30,69,0,69,7,5,16,5,11,0,70,25,52,12,0,3,28,1,90,3,3.21,0,70,,2.15,2.15,40000,고졸,
2017,한화,정우람,CP,4,FA 1년차,A,2016,31,61,0,61,8,5,16,7,1,0,81,30,64,14,1,7,26,4,85,5,3.33,0,81,,2.74,2.74,120000,고졸,
2018,한화,정우람,CP,4,재자격,A,2017,32,56,0,56,6,4,26,5,0,0,59,18,47,10,0,5,19,4,78,5,2.75,0,59,,2.1,2.1,120000,고졸,
