FA년도,구단명,선수명,세부 포지션,투,인정년수,구분,FA등급,플레이년도,Age,G,GS,GR,W,L,S,BLSV,HD,BLHD,IP,ER,H,2B,3B,HR,BB,HP,SO,WP,ERA,FIP,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,비고2,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM GS,TEAM GR,TEAM W,TEAM L,TEAM S,TEAM BLSV,TEAM HD,TEAM BLHD,TEAM IP,TEAM ER,TEAM H,TEAM 2B,TEAM 3B,TEAM HR,TEAM BB,TEAM HP,TEAM SO,TEAM WP,TEAM ERA,TEAM FIP,TEAM 선발 이닝,TEAM 구원 이닝,TEAM 선발 WAR,TEAM 구원 WAR,TEAM 종합 WAR,TEAM 연봉,
2023,NC,이재학,SP,우사,9,신규,B,2022,32,26,17,9,3,8,0,0,0,0,91,48,75,14,2,5,54,8,72,6,4.75,4.57,73.2,17.1,1.34,-0.29,1.05,18000,고졸,,잔류,3,9,6,144,144,537,67,74,25,15,54,7,1286.2,557,1230,218,18,111,515,98,1168,80,3.9,3.96,749.2,537,17.67,5.65,23.32,453600,
2024,NC,이재학,SP,우사,,FA 1년차,,2023,33,15,13,2,5,5,0,0,0,0,67.1,34,55,5,2,6,33,5,43,7,4.54,5.06,64.1,3,1.05,0.21,1.26,20000,,,,,,4,144,144,544,75,67,33,15,88,7,1281.1,545,1160,179,24,99,513,62,1090,58,3.83,3.99,729.2,551.2,18.28,8.66,26.94,417100,
2010,롯데,이정훈,RP,우투,9,신규,A,2009,32,57,0,57,1,3,8,,9,,74.1,25,77,,,5,28,8,50,4,3.03,4.06,,,,2.94,2.94,3600,고졸,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,롯데,이정훈,RP,우투,9,신규,A,2010,33,43,0,43,3,9,1,,5,,46,35,56,,,4,19,4,27,3,6.85,4.52,,,,-0.15,-0.15,7200,고졸,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,넥센,이정훈,RP,우투,9,신규,A,2011,34,44,0,44,3,3,1,,7,,52.1,22,50,,,1,19,6,31,6,3.78,3.67,,,,1.02,1.02,7200,고졸,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,넥센,이정훈,RP,우투,9,신규,A,2012,35,40,0,40,4,4,1,0,8,0,44.1,23,45,,,2,17,5,32,3,4.67,3.76,,,,-0.1,-0.1,8200,고졸,,잔류,2,5,6,133,133,360,61,69,36,,34,,1187.1,505,1131,,,80,535,74,853,62,3.83,4.03,,,13.34,4.43,17.77,72700,
2014,넥센,이정훈,RP,우투,,FA 1년차,,2013,36,56,0,56,5,2,1,2,11,1,69,23,69,12,3,5,24,2,29,1,3,4.78,0,69,,1.41,1.41,10000,,,,,,4,128,128,413,72,54,50,12,70,3,1146.1,525,1160,202,21,75,503,84,860,52,4.12,4.26,680,466.1,13.57,8.96,22.54,99600,
2020,한화,이태양,RP,우투,8,신규,C,2019,29,55,1,54,1,6,0,5,10,0,66.2,43,74,11,2,8,13,3,64,4,5.81,3.58,5,61.2,-0.11,-0.56,-0.68,15000,고졸,,,,,9,144,144,505,58,86,28,17,43,9,1268.2,677,1407,238,19,120,526,72,934,66,4.8,4.45,748.2,520,10.23,3.24,13.47,406600,
2021,SK,이태양,RP,우투,8,신규,C,2020,30,53,0,53,2,1,0,0,4,0,55.3,34,68,12,1,8,16,1,45,3,5.46,4.57,0,55.3,,0.47,0.47,14000,고졸,,,,,9,144,144,542,51,92,20,20,53,5,1259.1,780,1343,225,17,162,670,84,953,85,5.57,5.32,732.1,527,11.63,-0.17,11.45,335700,
2022,SSG,이태양,RP,우투,8,신규,C,2021,31,40,14,26,5,10,0,0,4,0,103.2,66,123,23,1,25,32,1,62,2,5.73,6.1,76.2,27,0.85,-0.1,0.75,10000,고졸,,,,,6,144,143,516,66,64,25,24,56,5,1276.2,684,1296,214,14,149,629,78,1012,41,4.82,4.78,674.1,602.1,9.39,9.86,19.25,415600,
2023,SSG,이태양,SP,우투,8,신규,C,2022,32,30,17,13,8,3,0,0,1,0,112,45,116,18,0,15,24,5,61,0,3.62,4.76,92,20,2.22,0.55,2.77,12000,고졸,,이적,4,25,1,144,144,454,88,52,45,23,68,4,1301.1,560,1223,174,17,130,457,65,1023,75,3.87,4.25,814.1,487,23.33,4.72,28.05,1533600,
2024,한화,이태양,RP,우투,,FA 1년차,,2023,33,50,12,38,3,3,0,0,2,0,100.1,36,100,25,6,7,21,3,72,1,3.23,3.6,50.1,50,0.83,0.95,1.78,66000,,,,,,9,144,144,608,58,80,20,25,68,7,1291.2,628,1292,241,34,101,518,103,1037,73,4.38,4.21,682,609.2,10.94,5.5,16.44,469100,
2014,군 복무,이현승,SP,좌투,8,신규,A,2013,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,대졸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,두산,이현승,RP,좌투,8,신규,A,2014,31,65,3,62,3,3,0,1,15,0,55,31,68,12,2,2,23,3,39,4,5.07,4.32,11.1,43.2,0.36,0.17,0.53,11000,대졸,,,,,6,128,128,436,59,68,19,14,61,8,1123.2,678,1311,243,29,121,450,58,840,56,5.43,4.94,671.2,452,10.82,3.09,13.91,274900,
2016,두산,이현승,CP,좌투,8,신규,A,2015,32,41,0,41,3,1,18,6,2,1,46.2,15,45,9,0,3,10,2,41,2,2.89,3.33,0,46.2,,0.93,0.93,15500,대졸,,,,,1,144,144,479,79,65,30,18,57,6,1286,718,1385,248,22,138,584,77,1064,72,5.02,4.83,767,519,14.82,1.9,16.72,490700,
2017,두산,이현승,CP,좌투,8,신규,A,2016,33,56,0,56,1,4,25,7,1,0,57.2,31,65,10,2,8,17,7,41,2,4.84,5.3,0,57.2,,-0.03,-0.03,40000,대졸,,잔류,3,27,1,144,144,435,93,50,36,15,55,1,1287.2,636,1385,246,30,136,498,77,982,66,4.45,4.94,822,465.2,24.08,5.84,29.92,539800,
2018,두산,이현승,CP,좌투,,FA 1년차,,2017,34,57,0,57,3,2,5,7,9,0,52,23,62,9,2,4,16,4,38,0,3.98,4.37,0,52,,0.74,0.74,40000,,,,,,2,144,144,446,84,57,35,13,46,3,1288,627,1405,234,31,125,464,87,956,54,4.38,4.78,801,487,18.47,8.08,26.55,625200,
2021,LG,임찬규,SP,우투,9,자격유지,B,2020,28,27,26,1,10,9,0,0,0,0,147.2,67,143,29,2,14,65,5,138,4,4.08,4.26,142,5.2,2.83,0.33,3.16,13500,23년 B등급,,,,,4,144,144,509,79,61,29,19,67,4,1292.2,627,1344,240,17,123,493,86,1019,49,4.37,4.51,797,495.2,17.24,6.56,23.81,503500,
2022,LG,임찬규,SP,우투,9,자격유지,B,2021,29,17,17,0,1,8,0,0,0,0,90.2,39,76,9,3,7,41,3,67,5,3.87,4.31,90.2,0,1.88,,1.88,22000,23년 B등급,,,,,4,144,144,553,72,58,32,14,81,11,1272.1,505,1126,197,18,80,545,98,1068,43,3.57,3.88,696,576.1,16.49,13.86,30.35,391200,
2023,LG,임찬규,SP,우투,9,자격유지,B,2022,30,23,23,0,6,11,0,0,0,0,103.2,58,113,13,3,10,39,7,75,3,5.04,4.5,103.2,0,1.16,,1.16,20000,23년 B등급,,,,,3,144,144,604,87,55,43,15,107,5,1288,476,1179,166,34,94,451,59,1031,49,3.33,3.82,731,557,18.28,14.01,32.29,393600,
2024,LG,임찬규,SP,우투,9,자격유지,B,2023,31,30,26,4,14,3,0,0,1,0,144.2,55,142,22,2,10,54,5,103,1,3.42,4.16,136.2,8,3.58,0.2,3.78,17000,23년 B등급,,잔류,4,50,1,144,144,593,86,56,37,15,92,5,1293.1,527,1266,215,17,74,491,76,977,47,3.67,3.98,723.1,570,15.44,10.67,26.11,551100,
2025,LG,임찬규,SP,우투,,FA 1년차,,2024,32,25,24,1,10,6,0,0,1,0,134,57,144,29,1,12,42,5,136,1,3.83,3.79,133,1,4.39,0.07,4.46,20000,,,,,,3,144,144,563,76,66,34,20,65,7,1277,657,1375,219,11,126,529,80,1082,68,4.63,4.65,755,522,19.65,3.18,22.83,446900,
2021,NC,임창민,RP,우투,9,자격유지,C,2020,35,44,0,44,7,2,0,1,11,1,37.2,22,39,10,1,4,23,2,44,3,5.26,4.31,0,37.2,,-0.06,-0.06,16000,신규 35세 23년 C등급,,,,,1,144,144,592,83,55,31,19,88,3,1296.2,660,1292,199,15,153,547,79,1049,65,4.58,4.86,754,542.2,21.71,7.36,29.07,438600,
2022,NC,임창민,RP,우투,9,자격유지,C,2021,36,46,0,46,0,3,0,3,17,0,40.1,17,35,8,0,2,20,4,29,7,3.79,4.33,0,40.1,,0.46,0.46,14000,신규 35세 23년 C등급,,,,,7,,144,144,552,67,68,33,18,80,9,1256.2,634,1268,231,15,125,592,77,1055,75,4.54,4.34,746.2,510,16.69,4.82,21.51,403800
2023,두산,임창민,RP,우투,9,자격유지,C,2022,37,32,0,32,0,0,2,3,6,2,27.1,12,26,1,0,3,10,3,21,1,3.95,4.64,0,27.1,,-0.39,-0.39,12000,신규 35세 23년 C등급,,,,,9,144,144,526,60,82,32,18,68,10,1279.1,632,1336,206,19,117,555,70,977,69,4.45,4.4,745,534.1,11,-0.4,10.59,443200,
2024,키움,임창민,CP,우투,9,자격유지,C,2023,38,51,0,51,2,2,26,4,1,0,46.2,13,51,6,0,3,17,2,40,0,2.51,3.6,0,46.2,,1.28,1.28,10000,신규 35세 23년 C등급,,이적,2,8,10,144,144,539,58,83,33,18,61,8,1288.1,632,1340,237,23,84,532,63,962,56,4.42,4.14,760,528.1,17.64,-0.05,17.59,519600,
2025,삼성,임창민,RP,우투,,FA 1년차,,2024,39,60,0,60,2,1,1,3,28,1,54.1,24,60,10,0,4,30,2,50,5,3.98,4.49,0,54.1,,1.97,1.97,20000,,,,,,2,144,144,558,78,64,41,25,116,10,1282.2,667,1384,225,23,164,477,81,980,58,4.68,5.08,735.2,547,21.01,8.75,29.76,476500,
2021,한화,장민재,RP,우투,8,신규,C,2020,30,24,10,14,2,7,0,0,0,0,57.1,43,86,19,2,5,13,2,32,1,6.75,4.45,43,14.1,-0.34,0.41,0.07,11000,고졸,,,,,10,144,144,561,46,95,21,15,54,6,1265,742,1400,240,18,158,609,79,1019,76,5.28,5.01,701,564,7.54,4.65,12.19,417900,
2022,한화,장민재,SP,우투,8,신규,C,2021,31,12,6,6,0,2,0,0,0,0,29.1,9,34,7,0,4,8,0,13,1,2.76,5.13,23.2,5.2,0.65,-0.18,0.47,10000,고졸,,,,,10,144,144,573,49,83,21,19,62,10,1258.2,650,1208,223,19,115,673,101,1011,56,4.65,4.59,683,575.2,12.75,2.76,15.51,302300,
2023,한화,장민재,SP,우투,8,신규,C,2022,32,32,25,7,7,8,0,0,0,1,126.2,50,124,18,2,15,39,4,75,3,3.55,4.74,120.1,6.1,3.27,0.06,3.33,7600,고졸,,,,,10,144,144,605,46,96,25,25,81,7,1268.1,680,1314,268,22,112,602,83,974,65,4.83,4.42,682.2,585.2,9.69,1.08,10.77,436040,
2024,한화,장민재,SP,우투,8,신규,C,2023,33,25,13,12,3,8,0,0,1,0,69,37,79,13,2,12,22,5,61,5,4.83,4.83,57,12,-0.05,0.15,0.11,11500,고졸,,잔류,3,8,9,144,144,608,58,80,20,25,68,7,1291.2,628,1292,241,34,101,518,103,1037,73,4.38,4.21,682,609.2,10.94,5.5,16.44,469100,
2025,한화,장민재,RP,우투,,FA 1년차,,2024,34,26,0,26,1,1,0,0,0,1,29,10,46,7,0,2,7,1,17,5,3.1,4.41,0,29,,0.74,0.74,15000,,,,,,8,144,144,582,66,76,26,19,68,6,1274.2,706,1437,235,25,128,511,76,1130,66,4.98,4.52,675,599.2,13.54,7.77,21.31,659200,
2020,롯데,장시환,SP,우투,9,신규,C,2019,32,27,27,0,6,13,0,0,0,0,125.1,69,147,29,1,12,58,2,109,17,4.95,4.23,125.1,0,1.54,,1.54,8500,35세 이상,,,,,10,144,144,520,48,93,16,17,47,4,1271,682,1407,242,20,120,546,71,1033,103,4.83,4.28,713.2,557.1,9.49,2.68,12.17,552500,
2021,한화,장시환,SP,우투,9,신규,C,2020,33,26,26,0,4,14,0,0,0,0,132.2,74,139,27,1,15,74,8,115,10,5.02,5.09,132.2,0,1.87,,1.87,11000,35세 이상,,,,,10,144,144,561,46,95,21,15,54,6,1265,742,1400,240,18,158,609,79,1019,76,5.28,5.01,701,564,7.54,4.65,12.19,417900,
2022,한화,장시환,SP,우투,9,신규,C,2021,34,19,16,3,0,11,0,0,1,0,69,54,87,12,1,4,48,6,47,7,7.04,5.18,67,2,-0.23,-0.12,-0.36,15400,35세 이상,,,,,10,144,144,573,49,83,21,19,62,10,1258.2,650,1208,223,19,115,673,101,1011,56,4.65,4.59,683,575.2,12.75,2.76,15.51,302300,
2023,한화,장시환,CP,우투,9,신규,C,2022,35,64,0,64,0,5,14,5,9,0,63.2,31,57,14,2,4,33,1,67,2,4.38,3.41,0,63.2,,0.49,0.49,21000,35세 이상,,잔류,3,9.3,10,144,144,605,46,96,25,25,81,7,1268.1,680,1314,268,22,112,602,83,974,65,4.83,4.42,682.2,585.2,9.69,1.08,10.77,436040,
2024,한화,장시환,RP,우투,,FA 1년차,,2023,36,38,0,38,2,2,1,4,7,0,34.2,13,32,4,0,1,21,4,24,3,3.38,4.61,0,34.2,,0.65,0.65,28000,,,,,,9,144,144,608,58,80,20,25,68,7,1291.2,628,1292,241,34,101,518,103,1037,73,4.38,4.21,682,609.2,10.94,5.5,16.44,469100,
2011,삼성,장원삼,SP,좌투,8,신규,A,2010,27,29,28,1,13,5,0,0,0,0,151,58,139,,,13,44,5,115,3,3.46,3.84,,,4.47,0.09,4.56,17000,대졸,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,삼성,장원삼,SP,좌투,8,신규,A,2011,28,25,21,4,8,8,0,0,0,0,115,53,139,,,13,37,0,68,1,4.15,4.49,,,1.79,-0.08,1.72,22500,대졸,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,삼성,장원삼,SP,좌투,8,신규,A,2012,29,27,25,2,17,6,0,0,1,0,157,62,143,,,9,38,9,127,2,3.55,3.05,,,3.22,0.09,3.31,22500,대졸,,,,,1,133,133,389,80,51,39,,71,,1187.2,448,1085,,,65,384,37,885,46,3.39,3.31,,,14.32,12.54,26.86,269000,
2014,삼성,장원삼,SP,좌투,8,신규,A,2013,30,27,26,1,13,10,1,0,0,0,154,75,165,17,3,21,42,9,104,6,4.38,4.76,150,4,1.99,0.01,2,40000,대졸,,잔류,4,60,1,128,128,380,75,51,31,7,49,5,1146.2,507,1119,194,21,98,411,60,955,44,3.98,3.98,750,396.2,15.08,6.1,21.18,300800,
2015,삼성,장원삼,SP,좌투,,FA 1년차,,2014,31,24,24,0,11,5,0,0,0,0,129.1,59,149,33,2,16,37,5,63,6,4.11,5.52,129.1,0,3.24,,3.24,75000,,,,,,1,128,128,415,78,47,35,18,65,2,1144,575,1217,257,24,120,395,61,996,51,4.52,4.48,737.1,406.2,21.11,5.64,26.76,430500,
2012,롯데,장원준,SP,좌투,9,신규,A,2011,26,29,28,1,15,6,0,,0,,180.2,63,195,,,7,62,9,129,3,3.14,3.48,,,4.97,0.4,5.38,,고졸,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,군 복무,장원준,SP,좌투,9,신규,A,2012,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,고졸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,군 복무,장원준,SP,좌투,9,신규,A,2013,28,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,고졸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,롯데,장원준,SP,좌투,9,신규,A,2014,29,27,27,0,10,9,0,0,0,0,155,79,160,27,6,15,67,3,107,9,4.59,5.08,155,0,4.68,,4.68,32000,고졸,,이적,4,84,7,128,128,425,58,69,28,14,64,2,1133.1,655,1310,250,26,127,470,53,781,54,5.2,5.19,689.1,444,16.19,6.83,23.03,316600,
2016,두산,장원준,SP,좌투,,FA 1년차,,2015,30,30,30,0,12,12,0,0,0,0,169.2,77,182,35,2,13,68,14,128,2,4.08,4.62,169.2,0,3.94,,3.94,100000,,,,,,1,144,144,479,79,65,30,18,57,6,1286,718,1385,248,22,138,584,77,1064,72,5.02,4.83,767,519,14.82,1.9,16.72,490700,
2013,SK,정우람,CP,좌투,9,신규,A,2012,27,53,0,53,2,4,30,,0,,49,12,33,,,0,9,4,55,1,2.2,1.38,,,,1.78,1.78,,고졸,,,,,2,133,133,416,71,59,40,,69,,1181.1,502,1114,,,90,457,70,814,35,3.82,3.93,,,10.76,7.91,18.67,249200,
2014,군 복무,정우람,SP,좌투,9,신규,A,2013,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,고졸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,군 복무,정우람,SP,좌투,9,신규,A,2014,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,고졸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,SK,정우람,CP,좌투,9,신규,A,2015,30,69,0,69,7,5,16,5,11,0,70,25,52,12,0,3,28,1,90,3,3.21,2.58,0,70,,2.15,2.15,40000,고졸,,이적,4,84,5,144,144,477,69,73,31,11,60,3,1280.2,670,1358,270,11,153,517,70,1149,71,4.71,4.6,740.2,540,15.11,8.4,23.52,354500,
2017,한화,정우람,CP,좌투,4,FA 1년차,A,2016,31,61,0,61,8,5,16,7,1,0,81,30,64,14,1,7,26,4,85,5,3.33,3.64,0,81,,2.74,2.74,120000,고졸,,,,,7,144,144,536,66,75,24,13,39,14,1292.2,827,1520,230,15,155,634,76,976,72,5.76,5.44,587,705.2,7.02,8.22,15.23,655500,
2018,한화,정우람,CP,좌투,4,재자격,A,2017,32,56,0,56,6,4,26,5,0,0,59,18,47,10,0,5,19,4,78,5,2.75,3.01,0,59,,2.1,2.1,120000,고졸,,,,,8,144,144,490,61,81,31,21,49,10,1273,747,1474,278,16,166,446,100,914,77,5.28,5.17,736.1,536.2,12.5,3.25,15.75,679200,
2019,한화,정우람,CP,좌투,4,재자격,A,2018,33,55,0,55,5,3,35,4,0,0,53,20,49,9,0,6,12,2,56,1,3.4,3.81,0,53,,1.64,1.64,120000,고졸,,,,,3,144,144,541,77,67,37,13,62,5,1274,698,1394,246,13,164,472,89,1124,78,4.93,4.95,723.2,550.1,12.89,10.69,23.58,569900,
2020,한화,정우람,CP,좌투,4,재자격,A,2019,34,57,0,57,4,3,26,4,0,0,58.1,10,57,8,0,4,16,1,48,2,1.54,3.42,0,58.1,,2.82,2.82,80000,고졸,,잔류,4,39,9,144,144,505,58,86,28,17,43,9,1268.2,677,1407,238,19,120,526,72,934,66,4.8,4.45,748.2,520,10.23,3.24,13.47,406600,
2021,한화,정우람,CP,좌투,,FA 1년차,,2020,35,50,0,50,3,5,16,3,0,0,54.1,29,58,11,1,4,12,5,53,2,4.8,3.35,0,54.1,,0.95,0.95,80000,,,,,,10,144,144,561,46,95,21,15,54,6,1265,742,1400,240,18,158,609,79,1019,76,5.28,5.01,701,564,7.54,4.65,12.19,417900,
2020,LG,정찬헌,CP,우투,8,신규,B,2019,29,13,0,13,1,1,6,1,0,1,11,2,11,4,0,0,6,0,11,0,1.64,3,0,11,,-0.07,-0.07,17000,고졸,,,,,4,144,144,455,79,64,43,13,62,3,1283.1,551,1257,223,23,89,499,91,953,64,3.86,4.13,786,497.1,13.04,7.37,20.42,434700,
2021,LG,정찬헌,SP,우투,8,신규,B,2020,30,19,19,0,7,4,0,0,0,0,110.1,43,116,22,1,10,31,4,85,5,3.51,4.13,110.1,0,3.38,,3.38,13000,고졸,,,,,4,144,144,509,79,61,29,19,67,4,1292.2,627,1344,240,17,123,493,86,1019,49,4.37,4.51,797,495.2,17.24,6.56,23.81,503500,
2022,키움,정찬헌,SP,우투,8,신규,B,2021,31,23,23,0,9,5,0,0,0,0,114.1,51,133,23,2,6,27,6,59,3,4.01,3.99,114.1,0,1.17,,1.17,20000,고졸,,,,,5,144,144,487,70,67,30,16,56,9,1263.1,605,1281,223,7,101,566,80,900,59,4.31,4.36,749.1,514,16.61,3.4,20.02,411000,
2023,키움,정찬헌,SP,우투,8,신규,B,2022,32,20,20,0,5,6,0,0,0,0,87.1,52,106,21,0,13,28,6,42,3,5.36,5.56,87.1,0,0.58,,0.58,28000,고졸,,잔류,2,8.6,2,144,144,505,80,62,48,18,84,8,1296.1,546,1247,259,15,96,490,70,1010,51,3.79,4.03,782,514.1,21.67,3.61,25.28,325800,
2024,키움,정찬헌,SP,우투,,FA 1년차,,2023,33,14,14,0,2,8,0,0,0,0,72,38,71,12,3,4,13,2,35,0,4.75,3.9,72,0,0.95,,0.95,10000,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,삼성,정현욱,RP,우투,9,신규,A,2009,31,62,0,62,8,5,6,0,16,0,79,30,77,,,8,36,2,66,9,3.42,4.22,,,,2.58,2.58,13000,고졸,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,삼성,정현욱,CP,우투,9,신규,A,2010,32,61,0,61,9,1,12,0,11,0,70.1,25,66,,,3,26,4,61,4,3.2,3.4,,,,2.02,2.02,17000,고졸,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,삼성,정현욱,RP,우투,9,신규,A,2011,33,59,0,59,4,3,1,0,24,0,72.1,19,70,,,4,30,4,52,3,2.36,3.94,,,,2.61,2.61,21000,고졸,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,삼성,정현욱,RP,우투,9,신규,A,2012,34,54,1,53,2,5,0,0,3,0,62.2,22,57,,,1,21,0,48,3,3.16,2.75,,,0.19,1.12,1.32,25000,고졸,,이적,4,28.6,1,133,133,389,80,51,39,,71,,1187.2,448,1085,,,65,384,37,885,46,3.39,3.31,,,14.32,12.54,26.86,269000,
2014,LG,정현욱,RP,우투,,FA 1년차,,2013,35,54,0,54,2,5,2,3,16,0,47.2,20,55,9,0,4,25,1,31,3,3.78,4.67,0,47.2,,0.48,0.48,40000,,,,,,3,128,128,451,74,54,42,11,86,8,1134.2,469,1131,183,20,74,406,87,822,46,3.72,4,706,428.2,16.51,7.11,23.63,153900,
2021,KT,주권,RP,우투,8,신규,A,2020,25,77,0,77,6,2,0,6,31,0,70,21,54,11,0,6,32,1,37,0,2.7,5.11,0,70,,2.41,2.41,15000,고졸,,,,,3,144,144,521,81,62,33,23,71,7,1290.1,651,1357,227,9,118,523,59,848,75,4.54,4.78,780,510.1,19.41,9.3,28.71,265700,
2022,KT,주권,RP,우투,8,신규,A,2021,26,62,0,62,3,4,0,4,27,0,49,18,48,7,1,3,19,1,19,1,3.31,4.66,0,49,,1.59,1.59,25000,고졸,,,,,1,144,144,470,76,59,33,16,74,5,1264,515,1176,184,13,86,489,42,1062,56,3.67,3.66,812,452,23.06,10.43,33.49,294300,
2023,KT,주권,RP,우투,8,신규,A,2022,27,58,0,58,3,3,1,1,15,0,50.2,22,58,7,1,3,8,0,31,0,3.91,3.45,0,50.2,,1.37,1.37,29500,고졸,,,,,4,144,144,444,80,62,37,13,65,2,1287.1,502,1243,188,19,92,364,63,1074,43,3.51,3.52,844,443.1,24.19,10.06,34.25,412900,
2024,KT,주권,RP,우투,8,신규,A,2023,28,42,3,39,1,2,0,0,5,0,47,23,49,7,1,4,19,2,17,0,4.4,5.28,6.1,40.2,-0.26,0.67,0.41,29500,고졸,,잔류,4,16,2,144,144,450,79,62,39,13,61,2,1287,564,1326,213,22,83,413,50,968,63,3.94,3.79,793.1,493.2,21.51,9.53,31.04,490500,
2025,KT,주권,CP,우투,,FA 1년차,,2024,29,48,1,47,1,1,0,2,0,0,58,43,78,14,2,7,11,3,31,0,6.67,5.05,2.2,55.1,-0.16,-0.03,-0.18,20000,,,,,,5,144,144,512,72,70,28,18,50,7,1284.1,729,1448,259,35,155,443,65,1118,57,5.11,4.61,715.2,568.2,13.8,7.63,21.43,595500,
2017,LG,진해수,RP,좌투,9,신규,A,2016,30,75,0,75,0,4,1,2,17,2,54,28,57,10,1,5,37,2,54,1,4.67,4.91,0,54,,0.18,0.18,9500,고졸,,,,,4,144,144,532,71,71,34,16,75,12,1287.2,721,1426,243,23,122,539,109,909,84,5.04,5.08,745.1,542.1,13.22,5,18.21,409600,
2018,LG,진해수,RP,좌투,9,신규,A,2017,31,75,0,75,3,3,1,4,24,0,52.2,23,52,11,2,6,15,2,48,1,3.93,4.23,0,52.2,,1.06,1.06,11000,고졸,,,,,6,144,144,475,69,72,32,18,66,9,1279,611,1305,249,29,124,379,102,1040,81,4.3,4.38,824,455,22.42,3.35,25.76,460900,
2019,LG,진해수,RP,좌투,9,신규,A,2018,32,66,0,66,2,3,0,2,14,1,43.2,35,63,6,1,7,13,4,37,1,7.21,5.2,0,43.2,,-0.33,-0.33,19000,고졸,,,,,8,144,144,457,68,75,29,17,43,5,1268.2,746,1434,266,19,159,453,89,1058,72,5.29,4.95,812.1,456.1,15.02,0.76,15.78,502700,
2020,LG,진해수,RP,좌투,9,신규,A,2019,33,72,0,72,3,1,0,2,20,0,42,16,44,3,3,2,16,2,38,0,3.43,3.44,0,42,,0.8,0.8,18000,고졸,,잔류,3,14,4,144,144,455,79,64,43,13,62,3,1283.1,551,1257,223,23,89,499,91,953,64,3.86,4.13,786,497.1,13.04,7.37,20.42,434700,
2021,LG,진해수,RP,좌투,,FA 1년차,,2020,34,76,0,76,4,2,0,5,22,0,50,24,54,6,0,3,23,4,59,5,4.32,3.31,0,50,,0.99,0.99,25000,,,,,,4,144,144,509,79,61,29,19,67,4,1292.2,627,1344,240,17,123,493,86,1019,49,4.37,4.51,797,495.2,17.24,6.56,23.81,503500,
2014,삼성,차우찬,RP,좌투,9,신규,A,2013,26,43,12,31,10,7,0,0,3,0,121.1,44,100,21,1,6,67,6,111,10,3.26,3.94,73.1,48,1.93,1.04,2.97,,고졸,,,,,1,128,128,380,75,51,31,7,49,5,1146.2,507,1119,194,21,98,411,60,955,44,3.98,3.98,750,396.2,15.08,6.1,21.18,300800,
2015,삼성,차우찬,RP,좌투,9,신규,A,2014,27,69,0,69,3,4,0,3,21,1,82,51,86,15,5,9,42,2,79,7,5.6,4.74,0,82,,0.58,0.58,24000,고졸,,,,,1,128,128,415,78,47,35,18,65,2,1144,575,1217,257,24,120,395,61,996,51,4.52,4.48,737.1,406.2,21.11,5.64,26.76,430500,
2016,삼성,차우찬,SP,좌투,9,신규,A,2015,28,31,29,2,13,7,0,0,1,0,173,92,160,36,1,28,74,5,194,9,4.79,4.63,170.1,2.2,3.26,0.25,3.52,30000,고졸,,,,,2,144,144,433,88,56,34,10,60,4,1275.1,665,1323,270,17,182,423,64,1194,44,4.69,4.54,850,425.1,18.76,8.1,26.86,490700,
2017,삼성,차우찬,SP,좌투,9,신규,A,2016,29,24,24,0,12,6,0,0,0,0,152.1,80,168,30,2,16,65,8,120,5,4.73,5.01,152.1,0,3.76,,3.76,40000,고졸,,이적,4,95,9,144,144,503,65,78,34,18,60,4,1282.1,804,1507,251,20,193,518,87,935,52,5.64,5.6,763.2,518.2,10.97,8.58,19.55,553600,
2018,LG,차우찬,SP,좌투,4,FA 1년차,B,2017,30,28,28,0,10,7,0,0,0,0,175.2,67,171,33,4,20,38,7,157,10,3.43,4.12,175.2,0,5.76,,5.76,100000,고졸,,,,,6,144,144,475,69,72,32,18,66,9,1279,611,1305,249,29,124,379,102,1040,81,4.3,4.38,824,455,22.42,3.35,25.76,460900,
